Date,Effect,Account,Amount,Type,Transaction ID
10/4/24,DEBIT,Inventory,7926.46,Asset,1002
10/4/24,CREDIT,Accounts Receivable,7926.46,Asset,1003
8/26/24,DEBIT,Accounts Payable,5909.73,Liability,1004
8/26/24,CREDIT,Sales Revenue,5909.73,Asset,1005
9/12/24,DEBIT,Cost of Goods Sold Expense,5117,Asset,1006
9/12/24,CREDIT,Salaries Expense,5117,Asset,1007
1/4/24,DEBIT,Salaries Payable,5180.27,Liability,1008
1/4/24,CREDIT,Utilities Expense,5180.27,Asset,1009
8/3/24,DEBIT,Common Stock,4500.49,Equity,1010
8/3/24,CREDIT,Retained Earnings,4500.49,Equity,1011
2/8/24,DEBIT,Cash,3278.39,Asset,1012
2/8/24,CREDIT,Inventory,3278.39,Asset,1013
7/23/24,DEBIT,Accounts Receivable,4069.79,Asset,1014
7/23/24,CREDIT,Accounts Payable,4069.79,Liability,1015
6/22/24,DEBIT,Sales Revenue,9188.06,Asset,1016
6/22/24,CREDIT,Cost of Goods Sold Expense,9188.06,Asset,1017
6/23/24,DEBIT,Salaries Expense,2598.5,Asset,1018
6/23/24,CREDIT,Salaries Payable,2598.5,Liability,1019
8/24/24,DEBIT,Utilities Expense,6398.22,Asset,1020
8/24/24,CREDIT,Common Stock,6398.22,Equity,1021
6/28/24,DEBIT,Retained Earnings,3685.96,Equity,1022
6/28/24,CREDIT,Cash,3685.96,Asset,1023
9/15/24,DEBIT,Inventory,304.09,Asset,1024
9/15/24,CREDIT,Accounts Receivable,304.09,Asset,1025
10/13/24,DEBIT,Accounts Payable,8191.53,Liability,1026
10/13/24,CREDIT,Sales Revenue,8191.53,Asset,1027
2/10/24,DEBIT,Cost of Goods Sold Expense,1668.58,Asset,1028
2/10/24,CREDIT,Salaries Expense,1668.58,Asset,1029
6/23/24,DEBIT,Salaries Payable,6637.86,Liability,1030
6/23/24,CREDIT,Utilities Expense,6637.86,Asset,1031
10/11/24,DEBIT,Common Stock,7361.59,Equity,1032
10/11/24,CREDIT,Retained Earnings,7361.59,Equity,1033
12/17/24,DEBIT,Cash,8361.02,Asset,1034
12/17/24,CREDIT,Inventory,8361.02,Asset,1035
6/21/24,DEBIT,Accounts Receivable,6526.32,Asset,1036
6/21/24,CREDIT,Accounts Payable,6526.32,Liability,1037
7/24/24,DEBIT,Sales Revenue,5180.88,Asset,1038
7/24/24,CREDIT,Cost of Goods Sold Expense,5180.88,Asset,1039
4/5/24,DEBIT,Salaries Expense,5463.91,Asset,1040
4/5/24,CREDIT,Salaries Payable,5463.91,Liability,1041
3/1/24,DEBIT,Utilities Expense,3797.49,Asset,1042
3/1/24,CREDIT,Common Stock,3797.49,Equity,1043
10/5/24,DEBIT,Retained Earnings,6609.12,Equity,1044
10/5/24,CREDIT,Cash,6609.12,Asset,1045
3/15/24,DEBIT,Inventory,5078.86,Asset,1046
3/15/24,CREDIT,Accounts Receivable,5078.86,Asset,1047
1/3/24,DEBIT,Accounts Payable,5826.94,Liability,1048
1/3/24,CREDIT,Sales Revenue,5826.94,Asset,1049
1/7/24,DEBIT,Cost of Goods Sold Expense,4979.49,Asset,1050
1/7/24,CREDIT,Salaries Expense,4979.49,Asset,1051
4/11/24,DEBIT,Salaries Payable,1645.07,Liability,1052
4/11/24,CREDIT,Utilities Expense,1645.07,Asset,1053
3/4/24,DEBIT,Common Stock,6065.16,Equity,1054
3/4/24,CREDIT,Retained Earnings,6065.16,Equity,1055
4/25/24,DEBIT,Cash,3882.84,Asset,1056
4/25/24,CREDIT,Inventory,3882.84,Asset,1057
12/24/24,DEBIT,Accounts Receivable,7365.66,Asset,1058
12/24/24,CREDIT,Accounts Payable,7365.66,Liability,1059
2/8/24,DEBIT,Sales Revenue,5820.31,Asset,1060
2/8/24,CREDIT,Cost of Goods Sold Expense,5820.31,Asset,1061
3/13/24,DEBIT,Salaries Expense,6230.27,Asset,1062
3/13/24,CREDIT,Salaries Payable,6230.27,Liability,1063
2/18/24,DEBIT,Utilities Expense,9988.68,Asset,1064
2/18/24,CREDIT,Common Stock,9988.68,Equity,1065
11/27/24,DEBIT,Retained Earnings,5259.3,Equity,1066
11/27/24,CREDIT,Cash,5259.3,Asset,1067
4/25/24,DEBIT,Inventory,4228.5,Asset,1068
4/25/24,CREDIT,Accounts Receivable,4228.5,Asset,1069
12/27/24,DEBIT,Accounts Payable,7172.47,Liability,1070
12/27/24,CREDIT,Sales Revenue,7172.47,Asset,1071
3/13/24,DEBIT,Cost of Goods Sold Expense,8511.13,Asset,1072
3/13/24,CREDIT,Salaries Expense,8511.13,Asset,1073
9/2/24,DEBIT,Salaries Payable,5345.46,Liability,1074
9/2/24,CREDIT,Utilities Expense,5345.46,Asset,1075
8/17/24,DEBIT,Common Stock,8642.93,Equity,1076
